Test Name,Test ID,Parameter Name,Unit,Ref Range Low,Ref Range High,Critical Low,Critical High
URINE ROUTINE EXAMINATION REPORT (CUE),T279,Crystal,-,,,,
Viral Markers (Rapid Card),T283,"HIV Antibody, Rapid Card",-,,,,
Viral Markers (Rapid Card),T283,Hepatitis B Surface Antigen (HBsAg) Rapid Card,-,,,,
Viral Markers (Rapid Card),T283,"Hepatitis C Antibody (HCV), Rapid Card",-,,,,
"VITAMIN D3 (1,25 DIHYDROXYCHOLECALCIFEROL)",T287,"Vitamin D3 (1,25 Dihydroxycholecalciferol)",ng/ml,19.6,54.3,,
Widal Test - Slide,T290,S. Typhi 'O',-,,,,
Widal Test - Slide,T290,S. Typhi 'H',-,,,,
Widal Test - Slide,T290,S. Paratyphi 'AH',-,,,,
Widal Test - Slide,T290,S. Paratyphi 'BH',-,,,,
Widal Test - Slide (2),T291,Typhi O,-,,,,
Widal Test - Slide (2),T291,Typhi H,-,,,,
Widal Test - Slide (2),T291,Paratyphi AH,-,,,,
Widal Test - Slide (2),T291,Paratyphi BH,-,,,,
