Test Name,Test ID,Parameter Name,Unit,Ref Range Low,Ref Range High,Critical Low,Critical High
GLUCOSE TOLERANCE TEST (GTT),T139,Glucose Fasting,mg/dL,70.0,100.0,,
GLUCOSE TOLERANCE TEST (GTT),T139,Glucose 1 hr,mg/dL,70.0,140.0,,
GLUCOSE TOLERANCE TEST (GTT),T139,Glucose 2 hr,mg/dL,70.0,140.0,,
GLUCOSE TOLERANCE TEST ORAL (OGTT),T140,Glucose Fasting,mg/dL,70.0,100.0,,
GLUCOSE TOLERANCE TEST ORAL (OGTT),T140,Glucose Post Load,mg/dL,70.0,140.0,,
HEPATITIS B VIRUS DNA DETECTOR QUALITATIVE,T158,HBV DNA,,,,,
HEPATITIS B VIRUS ENVELOPE ANTIBODY (HBeAb),T159,HBeAb-IgM,,,1.0,,
HEPATITIS B VIRUS ENVELOPE ANTIGEN (HBeAg),T160,HBeAg,,,1.0,,
HEPATITIS C VIRUS (HCV) ELISA,T162,HCV ELISA,,,0.9,,
HEPATITIS E VIRUS - IGM (HEV IGM),T163,Hepatitis E Virus (HEV IgM),S/CO,,1.0,,
HERPES SIMPLEX VIRUS 1 & 2 IGM,T002,HSV 1 & 2 IgG,Index,,0.8,,
HERPES SIMPLEX VIRUS 1 & 2 IGM,T002,HSV 1 & 2 IgM,Index,,0.8,,
HIV (I) PCR REPORT - QUANTITATIVE,T003,HIV-1 RNA (Quantitative NASBA PCR),Copies/ml,,,,
HIV 1-DNA PCR - QUALITATIVE,T004,HIV-1 DNA,,,,,
HLA - B 27 FLOWCYTOMETRY,T168,HLA-B27,,,,,
HLA - B 27 PCR,T169,HLA-B27 (Real Time PCR),,,,,
HMPV RTPCR TEST,T170,Cycle Threshold (Ct) Value,CT,25.0,35.0,,
HMPV RTPCR TEST,T170,Detection Limit,copies/mL,10.0,100.0,,
HMPV RTPCR TEST,T170,HMPV RTPCR Result,,,,,
HOMOCYSTEINE TEST,T172,Homocysteine,umol/L,5.46,16.2,,
HPLC TEST,T173,Hemoglobin,g/dL,12.0,16.0,,
HPLC TEST,T173,Hematocrit,%,36.0,46.0,,
HPLC TEST,T173,RBC Count,10^6/uL,3.8,4.8,,
HPLC TEST,T173,MCV,fL,83.0,101.0,,
HPLC TEST,T173,MCH,pg,26.0,34.0,,
HPLC TEST,T173,MCHC,g/dL,31.5,34.5,,
HPLC TEST,T173,RDW-CV,%,11.6,14.5,,
HPLC TEST,T173,Hemoglobin-F,%,,,,
HPLC TEST,T173,Hemoglobin A0,%,,,,
HPLC TEST,T173,Hemoglobin A2,%,,,,
HPLC TEST,T173,Hemoglobin S,,,,,
HPLC TEST,T173,Other,%,,,,
HPLC TEST,T173,Impression,,,,,
HYDROXY VITAMIN D - SERUM,T174,Vitamin D (25-OH),ng/mL,30.0,100.0,,
IMMUNOGLOBULIN IGM,T175,Immunoglobulin IgM,mg/dL,40.0,230.0,,
INDIRECT COOMBS TEST (ICT),T176,Indirect Coombs Test (ICT),,,,,
IRON,T177,Iron (Adults),mg/dl,60.0,180.0,,
IRON (FE),T178,Iron - Male,ug/dl,65.0,175.0,,
IRON (FE),T178,Iron - Female,ug/dl,59.0,158.0,,
IRON PROFILE TEST,T179,Iron,μg/dL,65.0,175.0,,
IRON PROFILE TEST,T179,UIBC,μg/dL,110.0,370.0,,
IRON PROFILE TEST,T179,TIBC,μg/dL,228.0,428.0,,
IRON PROFILE TEST,T179,% Saturation,%,20.0,50.0,,
IRON PROFILE TEST,T179,Transferrin,mg/dL,176.0,280.0,,
KARYOTYPING (PERIPHERAL BLOOD),T180,Result,,,,,
KIDNEY FUNCTION TEST (KFT),T181,Blood Urea,mg/dL,12.6,42.6,,
KIDNEY FUNCTION TEST (KFT),T181,Serum Creatinine,mg/dL,0.7,1.5,,
KIDNEY FUNCTION TEST (KFT),T181,Serum Uric Acid,mg/dL,2.5,7.0,,
KIDNEY FUNCTION TEST (KFT),T181,BUN,mg/dl,6.0,21.0,,
KIDNEY FUNCTION TEST (KFT),T181,Total Proteins,gm/dL,6.0,8.0,,
KIDNEY FUNCTION TEST (KFT),T181,Albumin,gm/dL,3.5,5.5,,
KIDNEY FUNCTION TEST (KFT),T181,Globulin,gm/dL,2.3,3.5,,
KIDNEY FUNCTION TEST (KFT),T181,Alb/Glb Ratio,,,,,
KIDNEY FUNCTION TEST (KFT),T181,Serum Sodium (Na),meq/litre,133.0,147.0,,
KIDNEY FUNCTION TEST (KFT),T181,Serum Potassium (K),meq/litre,3.5,5.4,,
KIDNEY FUNCTION TEST (KFT),T181,Calcium (Ca),mg/dl,8.5,11.0,,
LACTATE DEHYDROGENASE (LDH),T183,LDH,IU/L,114.0,240.0,,
LDL CHOLESTEROL,T184,LDL Cholesterol,mg/dl,,100.0,,
LEPTOSPIRA ANTIBODY IGM & IGG,T185,Leptospira Antibody IgM,,,,,
LEPTOSPIRA ANTIBODY IGM & IGG,T185,Leptospira Antibody IgG,,,,,
LEPTOSPIRA IGM,T186,Leptospira Antibody IgM,,,,,
LIPASE,T187,Lipase,U/L,13.0,60.0,,
LITHIUM TEST,T189,Lithium,mmol/L,0.6,1.2,,
LUTEINISING HORMONE (LH),T191,LH (Follicular),mIU/ml,1.9,12.5,,
M.P (ANTIGEN) TEST,T200,Plasmodium Vivax,,,,,
M.P (ANTIGEN) TEST,T200,Plasmodium Falciparum,,,,,
MAGNESIUM,T192,Magnesium,mg/dL,1.6,2.6,,
MALARIA ELISA TEST,T193,Plasmodium Falciparum,,,,,
MALARIA ELISA TEST,T193,Plasmodium Vivax,,,,,
MALARIA ELISA TEST,T193,Plasmodium Malaria,,,,,
MALARIA ELISA TEST,T193,Plasmodium Ovale,,,,,
MALARIA PARACHECK ANTIGEN TEST,T194,Malaria Paracheck Antigen Test,,,,,
MALIGNANT CELL,T196,Specimen No,,,,,
MALIGNANT CELL,T196,Specimen,,,,,
MALIGNANT CELL,T196,Microscopy,,,,,
MALIGNANT CELL,T196,Impression,,,,,
METHAMPHETAMINE SCREEN,T198,Methamphetamine,g/ml,1000.0,5000.0,,
METHAMPHETAMINE SCREEN,T198,Result,,,,,
MICROALBUMIN/CREATININE RATIO - URINE,T199,Volume,ml,,,,
MICROALBUMIN/CREATININE RATIO - URINE,T199,Urine Microalbumin,mcg/dl,,,,
MICROALBUMIN/CREATININE RATIO - URINE,T199,Urine Creatinine,mg/dl,,,,
MICROALBUMIN/CREATININE RATIO - URINE,T199,Microalbumin/Creatinine Ratio,Mcg/mg Creatinine,0.0,500.0,,
NICOTINE URINE TEST,T201,Nicotine (Cotinine),ng/mL,,500.0,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,Creatinine,mg/dL,0.6,1.2,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,Blood Urea Nitrogen (BUN),mg/dL,7.0,20.0,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,Sodium (Na),mEq/L,135.0,145.0,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,Potassium (K),mEq/L,3.5,5.0,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,Chloride (Cl),mEq/L,98.0,106.0,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,Bicarbonate (HCO3),mEq/L,22.0,29.0,,
KIDNEY FUNCTION TEST WITH ELECTROLYTES,T182,GFR (Estimated),mL/min/1.73m2,90.0,,,
RETICULOCYTE COUNT,T227,Reticulocyte Count,%,0.2,2.0,,
ROTA VIRUS ANTIGEN DETECTION (STOOL),T229,Rota Virus Antigen,,,,,
RUBELLA VIRUS ANTIBODY - IGM,T005,Rubella Virus Antibody IgM,Index,,1.2,,
SCRUB TYPHUS,T231,Result,,,,,
SCRUB TYPHUS,T231,Leptospira Antibody IgM,,,,,
SCRUB TYPHUS,T231,Leptospira Antibody IgG,,,,,
SCRUB TYPHUS IGG ANTIBODY,T232,Optical Density (OD),OD,,0.5,,
SCRUB TYPHUS IGG ANTIBODY,T232,Result,,,,,
SCRUB TYPHUS IGM ANTIBODY,T233,Result,OD,,0.46,,
SERUM IGE (IMMUNOGLOBULIN E),T235,Serum IgE Level,U/mL,0.0,100.0,,
SPOT URINE MICROALBUMIN TEST REPORT,T239,Urine Microalbumin,mg/L,,30.0,,
SPOT URINE MICROALBUMIN TEST REPORT,T239,Urine Creatinine,mg/dL,11.0,26.0,,
SPOT URINE MICROALBUMIN TEST REPORT,T239,ACR,mg/g,,30.0,,
SPUTUM AFB TEST,T240,AFB Smear,,,,,
SPUTUM AFB TEST,T240,AFB Grade,,,,,
SPUTUM AFB TEST,T240,Culture Growth,,,,,
SPUTUM AFB TEST,T240,Identification,,,,,
SPUTUM AFB TEST,T240,Time to Growth Detection,,,,,
SPUTUM AFB TEST,T240,Mtb Detected,,,,,
SPUTUM AFB TEST,T240,Rifampicin Resistance,,,,,
SPUTUM CULTURE TEST,,Specimen,,,,,
SPUTUM CULTURE TEST,,Incubation Period,,,,,
SPUTUM CULTURE TEST,,Organism Isolated,,,,,
SPUTUM CULTURE TEST,,Colony Count,,,,,
SPUTUM CULTURE TEST,,Amikacin,,,,,
SPUTUM CULTURE TEST,,Ampicillin,,,,,
SPUTUM CULTURE TEST,,Aztreonam,,,,,
SPUTUM CULTURE TEST,,Cefazolin,,,,,
SPUTUM CULTURE TEST,,Cefepime,,,,,
SPUTUM CULTURE TEST,,Cefoxitin,,,,,
SPUTUM FOR ACID-FAST BACILLI (AFB) TEST,T241,Specimen,,,,,
SPUTUM FOR ACID-FAST BACILLI (AFB) TEST,T241,Result,,,,,
STONE ANALYSIS,T242,Appearance,,,,,
STONE ANALYSIS,T242,Color,,,,,
STONE ANALYSIS,T242,Shape,,,,,
STONE ANALYSIS,T242,Size,,,,,
STONE ANALYSIS,T242,Weight,,,,,
STONE ANALYSIS,T242,Texture,,,,,
STONE ANALYSIS,T242,Calcium Oxalate Monohydrate (COM),,,,,
STONE ANALYSIS,T242,Calcium Oxalate Dihydrate (COD),,,,,
STONE ANALYSIS,T242,Uric Acid,,,,,
STONE ANALYSIS,T242,Calcium Phosphate (Apatite),,,,,
STONE ANALYSIS,T242,Magnesium Ammonium Phosphate (Struvite),,,,,
STONE ANALYSIS,T242,Cystine,,,,,
STONE ANALYSIS,T242,Ammonium Urate,,,,,
STONE ANALYSIS,T242,Calcium Oxalate Crystals,,,,,
STONE ANALYSIS,T242,Uric Acid Crystals,,,,,
STONE ANALYSIS,T242,Struvite Crystals,,,,,
STONE ANALYSIS,T242,Cystine Crystals,,,,,
STONE ANALYSIS,T242,Ammonium Urate Crystals,,,,,
STONE ANALYSIS,T242,Xanthine Crystals,,,,,
STONE ANALYSIS,T242,Drug Crystals,,,,,
STONE ANALYSIS,T242,Calcium Phosphate Crystals,,,,,
STONE ANALYSIS,T242,Bilirubin Crystals,,,,,
STONE ANALYSIS,T242,Tyrosine Crystals,,,,,
STONE ANALYSIS,T242,Leucine Crystals,,,,,
STONE ANALYSIS,T242,Crystal Quantity,,,,,
STONE ANALYSIS,T242,Urine pH at Time of Observation,,,,,
STONE ANALYSIS,T242,Stone Calcium,,,,,
STONE ANALYSIS,T242,Stone Oxalates,,,,,
STONE ANALYSIS,T242,Stone Phosphates,,,,,
STONE ANALYSIS,T242,Stone Magnesium,,,,,
STONE ANALYSIS,T242,Stone Uric Acid,,,,,
STONE ANALYSIS,T242,Stone Cholesterol,,,,,
STONE ANALYSIS,T242,Stone Bilirubin,,,,,
STONE ANALYSIS,T242,Others,,,,,
STOOL EXAMINATION,T243,Epithelial Cells,unit,,,,
STOOL EXAMINATION,T243,Blood,unit,,,,
STOOL EXAMINATION,T243,Other Findings,unit,,,,
STOOL EXAMINATION,T243,pH Value,,6.0,8.0,,
STOOL EXAMINATION,T243,Colour,,,,,
STOOL EXAMINATION,T243,Consistency,,,,,
STOOL EXAMINATION,T243,Mucus,,,,,
STOOL EXAMINATION,T243,Occult Blood,,,,,
STOOL EXAMINATION,T243,Reducing Substance,,,,,
STOOL EXAMINATION,T243,RBC,/hpf,,,,
STOOL EXAMINATION,T243,Pus Cells,/hpf,,,,
STOOL EXAMINATION,T243,Macrophages,,,,,
STOOL EXAMINATION,T243,Ova,,,,,
STOOL EXAMINATION,T243,Cyst,,,,,
STOOL EXAMINATION,T243,Fat Globules,,,,,
STOOL EXAMINATION,T243,Yeast Cells,,,,,
STOOL FOR OCCULT BLOOD,T244,Stool for Occult Blood,,,,,
STOOL HANGING DROP,T006,Sample,unit,,,,
TB GOLD,T245,Interferon-Gamma Conc. (Negative Control),pg/mL,,400.0,,
TB GOLD,T245,Interferon-Gamma Conc. (TB Antigen Test),pg/mL,,,,
TB GOLD,T245,Gamma Interferon Difference (T-N),pg/mL,,14.0,,
TB GOLD,T245,Gamma Interferon Difference %,%,,25.0,,
TB GOLD,T245,Final Result,,,,,
TB GOLD PLUS (IGRA),,TB1 Antigen Tube Minus Nil Tube,IU/mL,,,,
TB GOLD PLUS (IGRA),,TB2 Antigen Tube Minus Nil Tube,IU/mL,,,,
TB GOLD PLUS (IGRA),,Mitogen Tube Minus Nil Tube,IU/mL,,,,
TB GOLD PLUS (IGRA),,Nil Tube,IU/mL,,,,
TB GOLD PLUS (IGRA),,Final Result,,,,,
TESTOSTERONE (TOTAL),T246,Testosterone (Total) - Male,ng/dl,175.0,781.0,,
TESTOSTERONE (TOTAL),T246,Testosterone (Total) - Female,ng/dl,,75.0,,
TESTOSTERONE - FREE,T247,Testosterone - Free,pg/ml,4.28,20.9,,
THYROID FUNCTION TEST (TFT),T248,Total T3 (Triiodothyronine),ng/mL,0.91,2.18,,
THYROID FUNCTION TEST (TFT),T248,Total T4 (Thyroxine),μg/dL,5.91,13.2,,
THYROID FUNCTION TEST (TFT),T248,TSH 3rd Generation,μIU/mL,0.51,4.3,,
THYROID PROFILE II,T249,Free T3 (FT3),pg/mL,2.3,4.2,,
THYROID PROFILE II,T249,Free T4 (FT4),ng/L,8.9,17.6,,
THYROID PROFILE II,T249,TSH,uIU/ml,0.35,5.5,,
TISSUE TRANSGLUTAMINASE - IGA (TTGA),T250,TTGA (IgA),U/ml,,20.0,,
TORCH-5 PARA (IGG),T251,Toxoplasma IgG,Index,,0.7,,
TORCH-5 PARA (IGG),T251,Rubella IgG,IU/mL,,8.0,,
TORCH-5 PARA (IGG),T251,CMV Antibody IgG,Index,,0.8,,
TORCH-5 PARA (IGG),T251,HSV 1 IgG,RU/mL,,16.0,,
TORCH-5 PARA (IGG),T251,HSV 2 IgG,RU/mL,,16.0,,
TORCH-5 PARA (IGM),T252,Toxoplasma IgM,IU/ml,,0.8,,
TORCH-5 PARA (IGM),T252,Rubella IgM,Ratio,,0.8,,
TORCH-5 PARA (IGM),T252,CMV Antibody IgM,Index,,0.8,,
TORCH-5 PARA (IGM),T252,HSV 1 IgM,Ratio,,0.8,,
TORCH-5 PARA (IGM),T252,HSV 2 IgM,Ratio,,0.8,,
TOTAL IGE TEST,T255,Total IgE,IU/ML,,60.0,,
TOTAL PROTEIN,T256,Total Protein,g/dL,6.0,8.5,,
TOXOPLASMA - IGM,T007,Toxoplasma IgM,,,0.9,,
TOXOPLASMA - IGM & IGG,T008,Toxoplasma IgM,,,0.7,,
TOXOPLASMA - IGM & IGG,T008,Toxoplasma IgG,,,0.8,,
TROPONIN I,T257,Troponin I,ng/mL,,0.3,,
TROPONIN T,T258,Troponin T Result,,,,,
URINE FOR HAEMOGLOBINURIA,T273,Urine for Haemoglobinuria,,,,,
URINE FOR PH,T014,Urine pH,,4.5,8.0,,
URINE GLUCOSE - FASTING,T015,Urine Glucose (Fasting),,,,,
URINE GLUCOSE - POST PRANDIAL (USPP),T274,Urine Glucose,%,0.0,1.0,,
URINE GLUCOSE - PRE DINNER,T016,Urine Glucose (Pre Dinner),,,,,
URINE MICRO ALBUMIN,T275,Result,mg/l,,30.0,,
URINE MICROALBUMIN,T276,Urine Volume in 24 Hours,ml,24.0,392.0,,
URINE MICROALBUMIN,T276,Microalbumin 24-Hours Urine,mg/24hrs,,30.0,,
URINE MICROALBUMIN,T276,Microalbumin,mg/dL,,2.0,,
URINE OSMOLALITY,T017,Urine Osmolality,mOsmol/kg,500.0,800.0,,
URINE PROTEIN & CREATININE RATIO,T277,Protein Total,mg/dL,,14.0,,
URINE PROTEIN & CREATININE RATIO,T277,Creatinine,mg/dL,24.0,392.0,,
URINE PROTEIN & CREATININE RATIO,T277,Protein Creatinine Ratio,ratio,0.0,0.2,,
URINE SPOT CREATININE,T280,Urine Spot Creatinine,mg/dL,30.0,400.0,,
VARICELLA ZOSTER IGG & IGM ANTIBODY,T018,Varicella Zoster IgG,,,0.8,,
VARICELLA ZOSTER IGG & IGM ANTIBODY,T018,Varicella Zoster IgM,,,0.8,,
VARICELLA ZOSTER IGM ANTIBODY,T281,Varicella Zoster IgM,,,0.8,,
VARICELLA ZOSTER IGM ANTIBODY,T281,Result,,,,,
VASCULITIS PANEL,,C-ANCA (PR3),CU,,20.0,,
VASCULITIS PANEL,,P-ANCA (MPO),CU,,20.0,,
VASCULITIS PANEL,,Glomerular Basement Membrane (GBM) Antibody,CU,,20.0,,
VDRL (RPR),T282,VDRL,,,,,
VITAMIN B - 12,T284,Vitamin B-12,pg/mL,180.0,914.0,,
VITAMIN B6,T285,Vitamin B6,mg/L,5.0,30.0,,
VITAMIN D (25-HYDROXYCHOLECALCIFEROL),T286,Vitamin D (25-OH),ng/ml,41.0,100.0,,
VITAMIN-D (25-OH),T288,Vitamin D (25-OH),ng/ml,41.0,100.0,,
VLDL CHOLESTEROL,T019,VLDL Cholesterol,mg/dL,5.0,51.0,,
WESTERN BLOT TEST (HIV),T289,gp160,,,,,
WESTERN BLOT TEST (HIV),T289,gp120,,,,,
WESTERN BLOT TEST (HIV),T289,p66,,,,,
WESTERN BLOT TEST (HIV),T289,p55,,,,,
WESTERN BLOT TEST (HIV),T289,p51,,,,,
WESTERN BLOT TEST (HIV),T289,gp41,,,,,
WESTERN BLOT TEST (HIV),T289,p39,,,,,
WESTERN BLOT TEST (HIV),T289,p31,,,,,
WESTERN BLOT TEST (HIV),T289,p24,,,,,
WESTERN BLOT TEST (HIV),T289,p17,,,,,
WESTERN BLOT TEST (HIV),T289,Control Band,,,,,
WESTERN BLOT TEST (HIV),T289,HIV 2 Specific Band,,,,,
WESTERN BLOT TEST (HIV),T289,Impression,,,,,
WIDAL TEST - TUBE,T292,Typhi O,Titre,,,,
WIDAL TEST - TUBE,T292,Typhi H,Titre,,,,
WIDAL TEST - TUBE,T292,Paratyphi AH,Titre,,,,
WIDAL TEST - TUBE,T292,Paratyphi BH,Titre,,,,
ZINC,T293,Zinc,μg/L,150.0,1200.0,,
ABSOLUTE EOSINOPHIL COUNT (AEC),T021,Absolute Eosinophil Count,cu.mm,40.0,440.0,,
"ALDOSTERONE, 24 HRS URINE",T025,Aldosterone (24hr Urine),ug/24hrs,5.0,19.0,,
AMYLASE,T028,Amylase,IU/L,25.0,86.0,,
ANTI HCV (ELISA),T032,Anti HCV Antibody,,,,,
BILE SALT AND PIGMENTS - URINE,T046,Bile Salts,,,,,
BILE SALT AND PIGMENTS - URINE,T046,Bile Pigments,,,,,
BILIRUBIN,T047,Total Bilirubin,mg/dl,0.0,1.0,,
BILIRUBIN,T047,Indirect Bilirubin,mg/dl,0.0,0.7,,
BILIRUBIN,T047,Direct Bilirubin,mg/dl,0.0,0.3,,
"BILIRUBIN, TOTAL, SERUM",T048,Bilirubin Total Serum,mg/dL,0.3,1.2,,
BLOOD GROUP,T062,ABO Grouping,,,,,
BLOOD GROUP,T062,Rh Grouping,,,,,
BLOOD SUGAR FASTING (BSF),T063,Blood Sugar Fasting,mg/dl,60.0,110.0,,
BLOOD SUGAR FASTING (BSF),T063,Urine Sugar,,,,,
BLOOD SUGAR FASTING (BSF),T063,Urine Ketones,,,,,
BLOOD SUGAR LEVEL (F/PP),T064,Glucose Fasting,mg/dl,60.0,110.0,,
BLOOD SUGAR LEVEL (F/PP),T064,Glucose Post Prandial,mg/dl,80.0,140.0,,
BLOOD SUGAR LEVEL (F/PP),T064,Urine Sugar Fasting,,,,,
BLOOD SUGAR LEVEL (F/PP),T064,Urine Ketone Fasting,,,,,
BLOOD SUGAR LEVEL (F/PP),T064,Urine Sugar Post Prandial,,,,,
BLOOD SUGAR LEVEL (F/PP),T064,Urine Ketone Post Prandial,,,,,
BLOOD SUGAR POST PRANDIAL (BSPP),T065,Glucose Post Prandial,mg/dl,80.0,140.0,,
BLOOD SUGAR POST PRANDIAL (BSPP),T065,Urine Sugar,,,,,
BLOOD SUGAR POST PRANDIAL (BSPP),T065,Urine Ketones,,,,,
BLOOD UREA NITROGEN (BUN),T067,Blood Urea Nitrogen,mg/dL,9.81,20.0,,
CALCIUM,T071,Calcium,mg/dl,8.5,10.5,,
Complete Blood Count - CBC,T078,Haemoglobin (Hb),gm/dL,11.5,17.5,,
Complete Blood Count - CBC,T078,Total WBC Count / TLC,thou/μL,4.0,10.0,,
Complete Blood Count - CBC,T078,P.C.V / Hematocrit,%,36.0,46.0,,
Complete Blood Count - CBC,T078,R.B.C. Count,million/μL,3.8,4.8,,
Complete Blood Count - CBC,T078,M.C.V,fL,83.0,101.0,,
Complete Blood Count - CBC,T078,M.C.H,pg,27.0,32.0,,
Complete Blood Count - CBC,T078,M.C.H.C,g/dL,31.5,34.5,,
Complete Blood Count - CBC,T078,RDW (Red Cell Distribution Width),%,11.9,15.5,,
Complete Blood Count - CBC,T078,Neutrophils,%,40.0,80.0,,
Complete Blood Count - CBC,T078,Lymphocytes,%,20.0,40.0,,
Complete Blood Count - CBC,T078,Eosinophils,%,1.0,6.0,,
Complete Blood Count - CBC,T078,Monocytes,%,2.0,10.0,,
Complete Blood Count - CBC,T078,Basophils,%,0.0,2.0,,
Complete Blood Count - CBC,T078,Absolute Neutrophil Count,/μL,2000.0,7000.0,,
Complete Blood Count - CBC,T078,Absolute Lymphocyte Count,/μL,1000.0,3000.0,,
Complete Blood Count - CBC,T078,Absolute Eosinophil Count,/μL,20.0,500.0,,
Complete Blood Count - CBC,T078,Absolute Monocyte Count,/μL,200.0,1000.0,,
Complete Blood Count - CBC,T078,Absolute Basophil Count,/μL,20.0,100.0,,
Complete Blood Count - CBC,T078,Platelet count,thou/μL,150.0,450.0,,
Complete Blood Count - CBC,T078,MPV (Mean Platelet Volume),fL,6.8,10.9,,
Complete Blood Count - CBC,T078,RDW-SD,fl,27.0,64.0,,
Complete Blood Count - CBC,T078,RDW-CV,%,12.0,14.0,,
Complete Blood Count - CBC WITH ESR,T079,Haemoglobin (Hb),gm/dL,11.5,17.5,,
Complete Blood Count - CBC WITH ESR,T079,Total WBC Count / TLC,thou/μL,4.0,10.0,,
Complete Blood Count - CBC WITH ESR,T079,P.C.V / Hematocrit,%,36.0,46.0,,
Complete Blood Count - CBC WITH ESR,T079,R.B.C. Count,million/μL,3.8,4.8,,
Complete Blood Count - CBC WITH ESR,T079,M.C.V,fL,83.0,101.0,,
Complete Blood Count - CBC WITH ESR,T079,M.C.H,pg,27.0,32.0,,
Complete Blood Count - CBC WITH ESR,T079,M.C.H.C,g/dL,31.5,34.5,,
Complete Blood Count - CBC WITH ESR,T079,RDW (Red Cell Distribution Width),%,11.9,15.5,,
Complete Blood Count - CBC WITH ESR,T079,Neutrophils,%,40.0,80.0,,
Complete Blood Count - CBC WITH ESR,T079,Lymphocytes,%,20.0,40.0,,
